# Chunk-averaged data for fix massDens and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
5000 150 647.9999999999999
  1 -37.25 0 0
  2 -36.75 0 0
  3 -36.25 0 0
  4 -35.75 0 0
  5 -35.25 0 0
  6 -34.75 0 0
  7 -34.25 0 0
  8 -33.75 0 0
  9 -33.25 0 0
  10 -32.75 0 0
  11 -32.25 0 0
  12 -31.75 0 0
  13 -31.25 0 0
  14 -30.75 0 0
  15 -30.25 0 0
  16 -29.75 0 0
  17 -29.25 0 0
  18 -28.75 0 0
  19 -28.25 0 0
  20 -27.75 0 0
  21 -27.25 0 0
  22 -26.75 0 0
  23 -26.25 0 0
  24 -25.75 0 0
  25 -25.25 0 0
  26 -24.75 0 0
  27 -24.25 0 0
  28 -23.75 0 0
  29 -23.25 0 0
  30 -22.75 0 0
  31 -22.25 0 0
  32 -21.75 0 0
  33 -21.25 0 0
  34 -20.75 0 0
  35 -20.25 0 0
  36 -19.75 0 0
  37 -19.25 0 0
  38 -18.75 0 0
  39 -18.25 0 0
  40 -17.75 0 0
  41 -17.25 0 0
  42 -16.75 0 0
  43 -16.25 0 0
  44 -15.75 0 0
  45 -15.25 0 0
  46 -14.75 0 0
  47 -14.25 0 0
  48 -13.75 0 0
  49 -13.25 0 0
  50 -12.75 0 0
  51 -12.25 0 0
  52 -11.75 0 0
  53 -11.25 0 0
  54 -10.75 0 0
  55 -10.25 0 0
  56 -9.75 0 0
  57 -9.25 0 0
  58 -8.75 0 0
  59 -8.25 0 0
  60 -7.75 0 0
  61 -7.25 0 0
  62 -6.75 0 0
  63 -6.25 0 0
  64 -5.75 0 0
  65 -5.25 0 0
  66 -4.75 0 0
  67 -4.25 0 0
  68 -3.75 0 0
  69 -3.25 0 0
  70 -2.75 0 0
  71 -2.25 0 0
  72 -1.75 0.08 0.000774066
  73 -1.25 0.2 0.0134481
  74 -0.75 0.52 0.0165444
  75 -0.25 1.76 0.0861072
  76 0.25 4.36 0.266689
  77 0.75 10.84 0.628726
  78 1.25 15.88 0.890482
  79 1.75 26.4 1.52762
  80 2.25 23.08 1.43794
  81 2.75 18.28 1.19001
  82 3.25 12.96 0.608943
  83 3.75 18.32 0.724127
  84 4.25 19.48 1.23041
  85 4.75 27.52 1.90688
  86 5.25 20.88 1.21517
  87 5.75 17.32 0.841094
  88 6.25 13.96 0.664671
  89 6.75 16.24 0.945773
  90 7.25 23.08 1.42067
  91 7.75 25.36 1.56937
  92 8.25 14.84 0.989792
  93 8.75 11.92 0.443455
  94 9.25 9.64 0.36383
  95 9.75 16.56 0.983408
  96 10.25 25.76 1.76896
  97 10.75 29.32 1.74008
  98 11.25 19 0.914914
  99 11.75 16.2 0.715127
  100 12.25 11.64 0.786135
  101 12.75 17.88 1.41065
  102 13.25 20.4 0.957242
  103 13.75 16.88 0.842593
  104 14.25 21.88 1.24212
  105 14.75 22.28 1.45322
  106 15.25 22.04 1.35304
  107 15.75 17.68 0.74096
  108 16.25 14.96 0.887336
  109 16.75 17.24 1.22025
  110 17.25 12.6 0.611216
  111 17.75 6.88 0.446497
  112 18.25 3.72 0.231714
  113 18.75 1.68 0.0623072
  114 19.25 0.36 0.0034833
  115 19.75 0.12 0.0011611
  116 20.25 0 0
  117 20.75 0 0
  118 21.25 0 0
  119 21.75 0 0
  120 22.25 0 0
  121 22.75 0 0
  122 23.25 0 0
  123 23.75 0 0
  124 24.25 0 0
  125 24.75 0 0
  126 25.25 0 0
  127 25.75 0 0
  128 26.25 0 0
  129 26.75 0 0
  130 27.25 0 0
  131 27.75 0 0
  132 28.25 0 0
  133 28.75 0 0
  134 29.25 0 0
  135 29.75 0 0
  136 30.25 0 0
  137 30.75 0 0
  138 31.25 0 0
  139 31.75 0 0
  140 32.25 0 0
  141 32.75 0 0
  142 33.25 0 0
  143 33.75 0 0
  144 34.25 0 0
  145 34.75 0 0
  146 35.25 0 0
  147 35.75 0 0
  148 36.25 0 0
  149 36.75 0 0
  150 37.25 0 0
10000 150 648
  1 -37.25 0 0
  2 -36.75 0 0
  3 -36.25 0 0
  4 -35.75 0 0
  5 -35.25 0 0
  6 -34.75 0 0
  7 -34.25 0 0
  8 -33.75 0 0
  9 -33.25 0 0
  10 -32.75 0 0
  11 -32.25 0 0
  12 -31.75 0 0
  13 -31.25 0 0
  14 -30.75 0 0
  15 -30.25 0 0
  16 -29.75 0 0
  17 -29.25 0 0
  18 -28.75 0 0
  19 -28.25 0 0
  20 -27.75 0 0
  21 -27.25 0 0
  22 -26.75 0 0
  23 -26.25 0 0
  24 -25.75 0 0
  25 -25.25 0 0
  26 -24.75 0 0
  27 -24.25 0 0
  28 -23.75 0 0
  29 -23.25 0 0
  30 -22.75 0 0
  31 -22.25 0 0
  32 -21.75 0 0
  33 -21.25 0 0
  34 -20.75 0 0
  35 -20.25 0 0
  36 -19.75 0 0
  37 -19.25 0 0
  38 -18.75 0 0
  39 -18.25 0 0
  40 -17.75 0 0
  41 -17.25 0 0
  42 -16.75 0 0
  43 -16.25 0 0
  44 -15.75 0 0
  45 -15.25 0 0
  46 -14.75 0 0
  47 -14.25 0 0
  48 -13.75 0 0
  49 -13.25 0 0
  50 -12.75 0 0
  51 -12.25 0 0
  52 -11.75 0 0
  53 -11.25 0 0
  54 -10.75 0 0
  55 -10.25 0 0
  56 -9.75 0 0
  57 -9.25 0 0
  58 -8.75 0 0
  59 -8.25 0 0
  60 -7.75 0 0
  61 -7.25 0 0
  62 -6.75 0 0
  63 -6.25 0 0
  64 -5.75 0 0
  65 -5.25 0 0
  66 -4.75 0 0
  67 -4.25 0 0
  68 -3.75 0 0
  69 -3.25 0 0
  70 -2.75 0.04 0.000387033
  71 -2.25 1.28 0.0584369
  72 -1.75 2.04 0.060034
  73 -1.25 5.48 0.358117
  74 -0.75 4.96 0.324303
  75 -0.25 7.32 0.444998
  76 0.25 10.6 0.528543
  77 0.75 12.88 0.775107
  78 1.25 17.12 1.0982
  79 1.75 19 0.845836
  80 2.25 16.88 1.12466
  81 2.75 15.92 1.09235
  82 3.25 16.16 0.82987
  83 3.75 16.16 0.778061
  84 4.25 18.52 1.06569
  85 4.75 19.64 1.27225
  86 5.25 20.48 1.14222
  87 5.75 18.84 1.09757
  88 6.25 15.64 0.893916
  89 6.75 16.28 0.882839
  90 7.25 13.84 0.876499
  91 7.75 16.6 0.920474
  92 8.25 19.12 1.08877
  93 8.75 18.48 1.1056
  94 9.25 18.2 1.0626
  95 9.75 14.64 0.861214
  96 10.25 13.4 0.665009
  97 10.75 17.4 1.02032
  98 11.25 19.84 1.20511
  99 11.75 20.88 1.12882
  100 12.25 16.92 1.14232
  101 12.75 16.12 0.777674
  102 13.25 15.16 0.883515
  103 13.75 16.76 1.01413
  104 14.25 20.08 1.02322
  105 14.75 19.4 1.26417
  106 15.25 19.96 1.17749
  107 15.75 15.88 0.861699
  108 16.25 19.68 1.12297
  109 16.75 16.2 0.853283
  110 17.25 15.84 1.04552
  111 17.75 14 0.843509
  112 18.25 8.16 0.395561
  113 18.75 3.36 0.216718
  114 19.25 1.96 0.116825
  115 19.75 0.68 0.00657956
  116 20.25 0.2 0.00193516
  117 20.75 0 0
  118 21.25 0 0
  119 21.75 0 0
  120 22.25 0 0
  121 22.75 0 0
  122 23.25 0 0
  123 23.75 0 0
  124 24.25 0 0
  125 24.75 0 0
  126 25.25 0 0
  127 25.75 0 0
  128 26.25 0 0
  129 26.75 0 0
  130 27.25 0 0
  131 27.75 0 0
  132 28.25 0 0
  133 28.75 0 0
  134 29.25 0 0
  135 29.75 0 0
  136 30.25 0 0
  137 30.75 0 0
  138 31.25 0 0
  139 31.75 0 0
  140 32.25 0 0
  141 32.75 0 0
  142 33.25 0 0
  143 33.75 0 0
  144 34.25 0 0
  145 34.75 0 0
  146 35.25 0 0
  147 35.75 0 0
  148 36.25 0 0
  149 36.75 0 0
  150 37.25 0 0
15000 150 647.9999999999998
  1 -37.25 0 0
  2 -36.75 0 0
  3 -36.25 0 0
  4 -35.75 0 0
  5 -35.25 0 0
  6 -34.75 0 0
  7 -34.25 0 0
  8 -33.75 0 0
  9 -33.25 0 0
  10 -32.75 0 0
  11 -32.25 0 0
  12 -31.75 0 0
  13 -31.25 0 0
  14 -30.75 0 0
  15 -30.25 0 0
  16 -29.75 0 0
  17 -29.25 0 0
  18 -28.75 0 0
  19 -28.25 0 0
  20 -27.75 0 0
  21 -27.25 0 0
  22 -26.75 0 0
  23 -26.25 0 0
  24 -25.75 0 0
  25 -25.25 0 0
  26 -24.75 0 0
  27 -24.25 0 0
  28 -23.75 0 0
  29 -23.25 0 0
  30 -22.75 0 0
  31 -22.25 0 0
  32 -21.75 0 0
