# Chunk-averaged data for fix stress and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stpa[1] c_stpa[2] c_stpa[3] c_stpa[4] c_stpa[5] c_stpa[6]
5000 150 647.9999999999999
  1 -37.25 0 0 0 0 0 0 0
  2 -36.75 0 0 0 0 0 0 0
  3 -36.25 0 0 0 0 0 0 0
  4 -35.75 0 0 0 0 0 0 0
  5 -35.25 0 0 0 0 0 0 0
  6 -34.75 0 0 0 0 0 0 0
  7 -34.25 0 0 0 0 0 0 0
  8 -33.75 0 0 0 0 0 0 0
  9 -33.25 0 0 0 0 0 0 0
  10 -32.75 0 0 0 0 0 0 0
  11 -32.25 0 0 0 0 0 0 0
  12 -31.75 0 0 0 0 0 0 0
  13 -31.25 0 0 0 0 0 0 0
  14 -30.75 0 0 0 0 0 0 0
  15 -30.25 0 0 0 0 0 0 0
  16 -29.75 0 0 0 0 0 0 0
  17 -29.25 0 0 0 0 0 0 0
  18 -28.75 0 0 0 0 0 0 0
  19 -28.25 0 0 0 0 0 0 0
  20 -27.75 0 0 0 0 0 0 0
  21 -27.25 0 0 0 0 0 0 0
  22 -26.75 0 0 0 0 0 0 0
  23 -26.25 0 0 0 0 0 0 0
  24 -25.75 0 0 0 0 0 0 0
  25 -25.25 0 0 0 0 0 0 0
  26 -24.75 0 0 0 0 0 0 0
  27 -24.25 0 0 0 0 0 0 0
  28 -23.75 0 0 0 0 0 0 0
  29 -23.25 0 0 0 0 0 0 0
  30 -22.75 0 0 0 0 0 0 0
  31 -22.25 0 0 0 0 0 0 0
  32 -21.75 0 0 0 0 0 0 0
  33 -21.25 0 0 0 0 0 0 0
  34 -20.75 0 0 0 0 0 0 0
  35 -20.25 0 0 0 0 0 0 0
  36 -19.75 0 0 0 0 0 0 0
  37 -19.25 0 0 0 0 0 0 0
  38 -18.75 0 0 0 0 0 0 0
  39 -18.25 0 0 0 0 0 0 0
  40 -17.75 0 0 0 0 0 0 0
  41 -17.25 0 0 0 0 0 0 0
  42 -16.75 0 0 0 0 0 0 0
  43 -16.25 0 0 0 0 0 0 0
  44 -15.75 0 0 0 0 0 0 0
  45 -15.25 0 0 0 0 0 0 0
  46 -14.75 0 0 0 0 0 0 0
  47 -14.25 0 0 0 0 0 0 0
  48 -13.75 0 0 0 0 0 0 0
  49 -13.25 0 0 0 0 0 0 0
  50 -12.75 0 0 0 0 0 0 0
  51 -12.25 0 0 0 0 0 0 0
  52 -11.75 0 0 0 0 0 0 0
  53 -11.25 0 0 0 0 0 0 0
  54 -10.75 0 0 0 0 0 0 0
