# Time-averaged data for fix strunning
# TimeStep v_st
50 -1654.57
100 1600.01
150 544.913
200 894.363
250 913.323
300 1031.34
350 1060.82
400 1238.28
450 1181.88
500 1191.06
550 1183.55
600 1107.71
650 1048.86
700 989.613
750 982.805
800 957.244
850 946.525
900 862.727
950 811.848
1000 822.694
1050 842.383
1100 835.383
1150 796.946
1200 772.245
1250 741.684
1300 728.843
1350 731.868
1400 715.019
1450 691.686
1500 655.732
1550 639.194
1600 634.878
1650 626.039
1700 627.711
1750 587.761
1800 556.904
1850 544.126
1900 537.869
1950 551.389
2000 546.84
2050 527.877
2100 508.694
2150 508.231
2200 505.356
2250 501.175
2300 504.434
2350 504.268
2400 513.482
2450 506.652
2500 481.958
2550 457.318
2600 447.17
2650 459.717
2700 460.749
2750 456.794
2800 443.643
2850 442.935
2900 450.445
2950 460.317
3000 455.78
3050 451.867
3100 448.109
3150 438.262
3200 429.513
3250 419.932
3300 409.461
3350 403.03
3400 399.191
3450 392.418
3500 384.199
3550 375.472
3600 370.718
3650 363.894
3700 360.329
3750 355.024
3800 347.807
3850 339.68
3900 334.994
3950 331.087
4000 329.764
4050 326.328
4100 321.013
4150 317.749
4200 313.873
4250 310.047
4300 306.37
4350 302.513
4400 297.901
4450 294.288
4500 291.27
4550 289.993
4600 286.905
4650 284.832
4700 281.22
4750 278.526
4800 276.025
4850 273.961
4900 271.405
4950 270.176
5000 269.904
5050 270.131
5100 268.719
5150 264.694
5200 260.951
5250 259.236
5300 257.501
5350 255.992
5400 254.75
5450 253.544
5500 251.904
5550 250.539
5600 248.757
5650 248.505
5700 244.946
5750 242.86
5800 239.706
5850 238.103
5900 236.758
5950 235.224
6000 233.316
6050 232.441
6100 231.624
6150 230.708
6200 231.088
6250 229.624
6300 228.019
6350 226.121
6400 224.731
6450 223.189
6500 222.586
6550 221.457
6600 219.927
6650 218.71
6700 216.931
6750 215.285
6800 215.126
6850 214.739
6900 214.947
6950 212.283
7000 209.113
7050 205.585
7100 203.692
7150 201.375
7200 200.547
7250 200.631
7300 199.339
7350 197.388
7400 195.155
7450 194.265
7500 193.402
7550 191.512
7600 190.401
7650 187.814
7700 185.577
7750 183.538
7800 182.03
7850 180.902
7900 179.639
7950 178.049
8000 175.862
8050 175.007
8100 174.618
8150 172.791
8200 172.362
8250 172.21
8300 171.967
8350 170.43
8400 168.505
8450 167.001
8500 166.229
8550 165.454
8600 164.675
8650 164.479
8700 163.596
8750 162.833
8800 161.89
8850 161.722
8900 160.739
8950 159.714
9000 159.135
9050 158.04
9100 157.104
9150 157.054
9200 155.874
9250 154.839
9300 154.463
9350 153.887
9400 153.64
9450 153.72
9500 153.323
9550 153.06
9600 152.828
9650 152.896
9700 152.869
9750 152.52
9800 151.284
9850 149.797
9900 148.573
9950 147.753
10000 148.1
10050 147.361
10100 147.136
10150 147.148
10200 146.708
10250 145.183
10300 143.628
10350 143.49
10400 143.233
10450 142.674
10500 141.889
10550 140.12
10600 139.981
10650 139.606
10700 138.812
10750 138.142
10800 138.561
10850 138.491
10900 139.052
10950 138.78
11000 138.248
11050 137.796
11100 136.8
11150 136.216
11200 135.933
11250 136.232
11300 135.793
11350 135.382
11400 135.119
11450 135.305
11500 134.905
11550 134.494
11600 134.961
11650 135.111
11700 134.734
11750 133.867
11800 133.415
11850 133.747
11900 133.802
11950 133.917
12000 133.77
12050 133.293
12100 132.558
12150 133.411
12200 133.191
12250 132.524
12300 131.862
12350 131.356
12400 131.275
12450 131.687
12500 132.28
12550 131.98
12600 132.668
12650 132.375
12700 132.27
12750 132.127
12800 131.781
12850 131.746
12900 131.68
12950 130.971
13000 130.602
13050 129.469
13100 129.873
13150 130.554
13200 130.289
13250 129.393
13300 129.218
13350 128.824
13400 128.981
13450 128.817
13500 129.045
13550 128.538
13600 128.546
13650 127.945
13700 127.32
13750 126.337
13800 126.024
13850 125.121
13900 125.063
13950 125.456
14000 125.275
14050 125.168
14100 125.107
14150 125.399
14200 124.536
14250 124.261
14300 124.029
14350 124.448
14400 125.396
14450 125.325
14500 125.099
14550 124.544
14600 124.216
14650 123.675
14700 123.494
14750 123.165
14800 122.786
14850 122.487
14900 121.567
14950 121.075
15000 120.542
15050 120.553
15100 120.499
15150 119.941
15200 119.212
15250 119.083
15300 119.438
15350 120.143
15400 119.773
15450 119.253
15500 118.883
15550 118.807
15600 118.902
15650 118.707
15700 117.681
15750 118.127
15800 119.281
15850 118.991
15900 118.608
15950 118.215
16000 118.415
16050 118.514
16100 118.162
16150 117.789
16200 117.557
16250 116.694
16300 116.51
16350 116.746
16400 116.731
16450 116.333
16500 116.139
16550 116.122
16600 115.965
16650 116.019
16700 115.645
16750 115.17
16800 114.708
16850 114.219
