# Time-averaged data for fix st
# TimeStep v_st
0 -3748.78
50 -1345.54
100 5249.69
150 -1653.67
200 1303.76
250 968.574
300 1829.93
350 1241.7
400 2716.22
450 921.877
500 1290.66
550 1087.24
600 162.715
650 292.152
700 255.379
750 938.843
800 646.126
850 607.543
900 -724.756
950 -114.537
1000 1026.89
1050 1286.39
1100 544.167
1150 -86.7841
1200 246.164
1250 58.6139
1300 366.58
1350 705.262
1400 171.898
1450 17.2828
1500 -353.28
1550 146.214
1600 597.567
1650 354.805
1700 721.586
1750 -783.937
1800 -499.669
1850 169.659
1900 416.841
1950 966.844
2000 243.362
2050 -283.25
2100 -249.497
2150 475.364
2200 413.805
2250 301.914
2300 670.187
2350 605.242
2400 975.18
2450 146.911
2500 -829.165
2550 -680.291
2600 15.4607
2650 1132.91
2700 445.868
2750 213.163
2800 -240.366
2850 454.526
2900 850.355
2950 1014.33
3000 127.239
3050 221.807
3100 190.197
3150 -196.268
3200 -92.4967
3250 -194.146
3300 -226.291
3350 -1.86036
3400 160
3450 -108.673
3500 -213.666
3550 -203.501
3600 35.3098
3650 -110.394
3700 136.479
3750 -59.5999
3800 -225.835
3850 -269.585
3900 -38.7754
3950 18.5685
4000 196.451
4050 55.3015
4100 -94.1963
4150 70.4088
4200 -31.7787
4250 -15.1081
4300 7.85887
4350 -25.0219
4400 -116.239
4450 -56.9368
4500 -11.9762
4550 187.935
4600 10.2451
4650 93.2802
4700 -45.8871
4750 17.0683
4800 14.957
4850 73.2402
4900 40.464
4950 139.915
5000 248.921
5050 321.196
5100 54.2631
5150 -131.829
5200 -112.36
5250 108.22
5300 46.1284
5350 91.4975
5400 104.392
5450 92.6789
5500 60.3877
5550 75.4514
5600 41.5101
5650 193.222
5700 -201.318
5750 -4.48664
5800 -154.452
5850 36.0813
5900 89.3719
5950 65.0726
6000 10.8947
6050 160.602
6100 136.328
6150 107.81
6200 267.731
6250 59.5736
6300 70.678
6350 -1.30296
6400 61.521
6450 11.5516
6500 138.94
6550 36.6406
6600 72.4223
6650 32.786
6700 -18.3534
6750 -3.80423
6800 177.897
6850 155.779
6900 237.371
6950 -189.992
7000 -248.285
7050 -276.21
7100 -87.9584
7150 -134.479
7200 102.77
7250 182.335
7300 -17.7512
7350 -101.089
7400 -112.764
7450 64.7516
7500 83.9
7550 -80.1043
7600 33.8413
7650 -242.114
7700 -166.878
7750 -132.956
7800 -54.9502
7850 7.61024
7900 -54.1266
7950 -72.7071
8000 -165.798
8050 42.0004
8100 128.575
8150 -153.518
8200 123.332
8250 148.991
8300 91.5005
8350 -106.982
